Source,Target,Weight,Distance_km
19,41,0.3478,2.775
19,43,0.266,3.66
19,44,0.3415,2.828
19,45,0.5588,1.69
19,49,0.2281,4.285
19,54,0.2753,3.533
19,59,0.2568,3.795
19,60,0.2442,3.995
19,63,0.2372,4.116
19,64,0.2165,4.52
19,65,0.3639,2.648
19,73,0.2306,4.236
19,74,0.3421,2.823
20,43,0.4387,2.18
20,46,0.4748,2.006
20,54,0.3992,2.405
20,69,0.6156,1.524
21,22,0.6222,1.507
21,23,0.4358,2.194
21,24,0.2135,4.584
21,25,0.2399,4.068
21,26,0.2628,3.705
21,28,0.2165,4.518
21,29,0.2113,4.634
21,32,1.2855,0.678
21,34,0.4063,2.361
21,38,0.82,1.12
21,39,1.2075,0.728
21,40,0.2976,3.26
21,41,0.7716,1.196
21,42,0.5723,1.647
21,44,0.9426,0.961
21,45,0.4618,2.066
21,48,0.2533,3.848
21,49,0.5483,1.724
21,56,0.3113,3.112
21,60,0.4323,2.213
21,62,0.4077,2.353
21,63,0.2665,3.653
21,64,0.5917,1.59
21,65,0.3186,3.039
21,71,0.232,4.21
21,73,0.2819,3.448
21,74,0.8094,1.136
21,75,0.2151,4.548
22,23,0.4016,2.39
22,24,0.2345,4.164
22,25,0.2486,3.922
22,26,0.2458,3.968
22,32,0.7548,1.225
22,34,0.8311,1.103
22,38,0.3682,2.616
22,39,0.4517,2.114
22,40,0.2076,4.716
22,41,0.5478,1.725
22,42,0.308,3.147
22,43,0.2314,4.222
22,44,1.1642,0.759
22,45,0.556,1.698
22,46,0.2046,4.788
22,48,0.2122,4.613
22,49,0.6587,1.418
22,54,0.2593,3.756
22,56,0.3199,3.026
22,60,0.291,3.336
22,62,0.2545,3.83
22,63,0.2184,4.479
22,64,0.3193,3.032
22,65,0.285,3.409
22,71,0.2397,4.071
22,73,0.2237,4.369
22,74,0.5552,1.701
23,24,0.3841,2.504
23,25,0.5032,1.887
23,29,0.2698,3.607
23,32,0.3587,2.688
23,34,0.2797,3.475
23,38,0.3427,2.818
23,39,0.4871,1.953
23,40,0.206,4.755
23,41,0.292,3.325
23,42,0.3403,2.839
23,44,0.3717,2.59
23,45,0.2504,3.893
23,48,0.4091,2.344
23,49,0.9029,1.007
23,56,0.9529,0.949
23,57,0.2218,4.41
23,60,0.2269,4.308
23,62,0.2518,3.872
23,64,0.2877,3.376
23,71,0.4705,2.025
23,74,0.2969,3.269
23,75,0.1976,4.962
24,25,1.0369,0.864
24,29,0.2041,4.8
24,32,0.1987,4.934
24,39,0.2198,4.45
24,44,0.2092,4.68
24,46,0.2105,4.651
24,48,0.2847,3.412
24,49,0.3301,2.93
24,56,0.5997,1.567
24,71,1.0604,0.843
25,29,0.2468,3.952
25,32,0.2171,4.506
25,34,0.2008,4.88
25,38,0.2092,4.68
25,39,0.2547,3.827
25,42,0.2123,4.61
25,44,0.226,4.324
25,47,0.2035,4.814
25,48,0.3767,2.555
25,49,0.3765,2.556
25,56,0.9445,0.959
25,57,0.2176,4.495
25,71,4.0083,0.149
26,32,0.3049,3.179
26,34,0.2744,3.545
26,38,0.2634,3.696
26,39,0.2311,4.226
26,40,0.2342,4.17
26,41,0.3792,2.537
26,42,0.228,4.286
26,44,0.2869,3.386
26,45,0.4127,2.323
26,52,0.2909,3.338
